Project Name,Project ID,(Do Not Modify) Row Checksum,Deltek_ProjectID,Project Status,Client,Municipality,Project Geography,[system]picture guid,Autonumber,Created On,MAPC Project #
A Vision for Brookline's Commercial Areas - Ecomonic Development,635,rx1OO7w8Dmre6ld1wjTnkoFJoaCYKQ7uGs8GgROOU6Ol8FQlrAzKD0+yvwXFnhBAPugQtkR83PGJiF2S8pdHzA==,23F0D363AD9B45E1BB37EA516D0915E7,In Progress,Town of Brookline,Brookline,Single Municipality,,202,12/26/2017 7:08am,17M042
Age Friendly Changes in the Town of Hudson,644,GB7tnyFyXdQLbqUH8WznPPGcR5mJLV6mrtyDzwsRShQfur9noMonWIejRARVbeT9kKa3tMPkmh435bM051mb8A==,,Completed,Town of Hudson,Hudson,Single Municipality,,193,12/28/2017 10:40am,
Albion Arts Corridor Economic Development Strategy,497,iBdGKA7+axKTdT+pyxOHH16+LltaD0RXso7lgYdix4FLeSu2kR9tc4yt+AKzHdoBksYHaIhET+jEvQem/nuKpw==,,Completed,Town of Wakefield,Wakefield,Single Municipality,,327,10/27/2016 1:31pm,
Alternative Zoning Review for Donald Lynch Boulevard area of Marlborough,704,OWd/bc0GImNaPIpikyWNgzqXBUuGSMQFBZKTjXWdZf6Lom9KVMyhOkZi7hXwoihAbdXyiIYmeusyHU5pr0yicQ==,815148DA31C04D6AB6AACD7052A163FB,Completed,City of Marlborough,Marlborough,Single Municipality,,134,1/12/2018 8:31am,17M058
Arlington Arts & Culture Action Plan,581,NqIRcZ1VoeH/Rg5+Y3j0P27twh1vPNpXNuMSG0Q/nhhxb5qYCQsYknfqgeIOAPCB5BFnZAevx0k/BF0QxJqUVw==,,Completed,Town of Arlington,Arlington,Single Municipality,,250,10/18/2017 11:10am,17M013
Arlington Housing Production Plan,557,CNDnS8KH1BjYAVuq4tsM1jGSHsx4dYW0L+VjVNWYsQjkBfeIxRNdFfGhyxjwK1EsW+AoI5p65xJMP+a8ltiFUA==,,Completed,Town of Arlington,Arlington,Single Municipality,,273,1/11/2017 2:33pm,M1155.002
Arlington Multifamily Zoning,745,kBTRPuzl4eSpd7YGDuKr8de5Aajmx/DxgAvrgu4V0BCWeLfYDcUf81twu/GzfdvtCZINZWlENRecR3tCWU9S/A==,9169376DA5764B0683DD998A9AC17241,In Progress,Town of Arlington,Arlington,Single Municipality,,97,11/7/2018 7:11am,18M037
Bellingham Economic Development Initiative,660,BELjcJYJkxnaQqObGBMZVTeuuS5D/MEqfaHtGEdiNHZ4krksyzJbUG0pwGFNeC83ZKftMj/uzuutvyUexVWFfQ==,01307B8E3CBA424F8D35E8B0C806C33B,Completed,Town of Bellingham,Bellingham,Single Municipality,,177,1/2/2018 11:07am,17M046
Beverly Great Estates Zoning,398,YFXYfSKOg+x13EjRgJ3L/CQ6vA6PIDE55Xqkypl43jKYNDyQx8YPT5s255DuEMYgCQdquUB84JRn8nq1Wy2oWw==,,Completed,City of Beverly,Beverly,Single Municipality,,423,3/24/2015 4:58pm,
Bolton Hazard Mitigation Plan 2018 Update,825,yCnujQBOpVzaYQ0nXnacTYTd9AY/2jSOOHfKNaxupTCkHmOIgQmkeaNJ7nMJsdueB/1QtiuRz1J8kDnlrfGjPg==,,Completed,Town of Bolton,Bolton,Single Municipality,,11,3/6/2019 5:17pm,M1313
Boston Youth Jobs Application Portal,430,n5sHf4tNn+ACrtWlVmgwupA4jAiYFHerZPX6Zy5HWEfbzjBW6RCxBjGkYxD2pqsE1OrbTrQTuoD73BIxHgSdFA==,,Completed,City of Boston,Boston,Single Municipality,,394,9/23/2015 2:07pm,
Boxborough Master Plan,395,HhGNF99AC1Ffk0nCxiWHsS51rgOUY4y0e5xOMgkEN4CxmXgJYfUz0ePQmgJWBS2+SjrBg9zvUt6axDQ1yWJsUw==,,Completed,Town of Boxborough,Boxborough,Single Municipality,,426,1/30/2015 2:56pm,
Braintree Hazard Mitigation Plan,795,0F1EsyNOD571wrEF4jMk9TnhnBahR9NTGIp5UgbiGNYGa3FmiqH7QeZUiMjcPNJBpNpd0OkGtFfurWVlBnpZGA==,,In Progress,Town of Braintree,Braintree,Single Municipality,,47,2/27/2019 3:58pm,
Braintree Vulnerability Assessment,505,AtnTirSKLZpV5aaUHmvRrZPQloCvtUSWRQ/hQTJ8Jsq/ZsviDNBNssEy0tSfrQSoIP2kmIY3I+5MmfYsqpJu9A==,,Completed,Town of Braintree,Braintree,Single Municipality,,319,11/7/2016 4:00pm,
Building a Resilient Scituate. Climate Vulnerability Assessment and Action Plan,623,Oqghts0csRi2fm3FEf0mdEpLF1GSfbJHD00lhPi6eCp1hrh598S+PBzWLfHpcebgGvNIbpKie5gjo8aNZxr9ug==,,In Development,Town of Scituate,Scituate,Single Municipality,,214,12/14/2017 5:20pm,
Canton - Resevoir Pond Options/Future Us,678,aiix7X3wl/aVlJjjz4zgXMqA4BrvX/HiNG7Bu10wZ2PGMy+bXjq41XikJAeLIYDh3pZy9W60TnZmQP+toqm3Bg==,FEB4067F23114F0CB8F065A4C63982A0,Completed,Town of Canton,Canton,Single Municipality,,159,1/9/2018 4:32am,16M011
Chelsea Municipal Vulnerability Preparedness,818,zQvY97YQxMRcEeUQloDfZdpYP+4vW95cPp3PML5yICqiROGJsPllNezJF82/qRhpUq+JO27BqltVwNiq/fV+lA==,,Completed,City of Chelsea,Chelsea,Single Municipality,,18,3/6/2019 9:38am,
Chelsea Waterfront Visioning 2016,508,83RIaSj84XmBVu05LSdhas5WH+1QFMaaRxXaUHaFA9Y9REpDboPMBp+BBboxOxMGEIqpVwtFbOb0b+8lx8HFBw==,,Completed,City of Chelsea,Chelsea,Single Municipality,,316,11/7/2016 3:53pm,M1153
